;IDENT;LCOMM;NDEPT
40936;21400117400017;GRENADE SUR L ADOUR;40
40938;21400118200010;HABAS;40
40939;21400119000013;HAGETMAU;40
40947;21400120800013;HASTINGUES;40
40948;21400121600016;HAURIET;40
40951;21400122400010;HAUT MAUCO;40
40954;21400123200013;HERM;40
40957;21400124000016;HERRE;40
40960;21400125700010;HEUGAS;40
40965;21400126500013;HINX;40
40968;21400127300017;HONTANX;40
40972;21400128100010;HORSARRIEU;40
40974;21400129900012;JOSSE;40
40977;21400130700013;LABASTIDE CHALOSSE;40
40978;21400131500016;LABASTIDE D ARMAGNAC;40
40981;21400132300010;LABATUT;40
40982;21400133100013;LABENNE;40
40991;21400134900015;LABOUHEYRE;40
40993;21400135600010;LABRIT;40
40996;21400136400014;LACAJUNTE;40
40998;21400137200017;LACQUY;40
41000;21400138000010;LACRABE;40
41003;21400139800012;LAGLORIEUSE;40
41005;21400140600013;LAGRANGE;40
41007;21400141400017;LAHOSSE;40
41009;21400142200010;LALUQUE;40
41012;21400143000013;LAMOTHE;40
41014;21400144800015;LARBEY;40
41015;21400145500010;LARRIVIERE ST SAVIN;40
41017;21400146300014;LATRILLE;40
41019;21400147100017;LAUREDE;40
41020;21400148900019;LAURET;40
41022;21400149700012;LENCOUACQ;40
41026;21400150500012;LEON;40
41027;21400151300016;LESGOR;40
41029;21400152100019;LESPERON;40
41032;21400153900011;LE LEUY;40
41033;21400154700014;LEVIGNACQ;40
41034;21400155400010;LINXE;40
41036;21400156200013;LIPOSTHEY;40
41038;21400157000016;LIT ET MIXE;40
41041;21400158800018;LOSSE;40
41044;21400159600011;LOUER;40
41045;21400160400013;LOURQUEN;40
41047;21400161200016;LUBBON;40
41049;21400162000019;LUCBARDEZ ET BARGUES;40
41051;21400163800011;LUE;40
41053;21400164600014;RETJONS;40
41055;21400165300010;LUGLON;40
41056;21400166100013;LUSSAGNET;40
41058;21400167900015;LUXEY;40
41059;21400168700018;MAGESCQ;40
41067;21400169500011;MAILLAS;40
41068;21400170300013;MAILLERES;40
41069;21400171100016;MANO;40
41070;21400172900018;MANT;40
41072;21400173700011;MARPAPS;40
41074;21400174500014;MAURIES;40
41075;21400175200010;MAURRIN;40
41077;21400176000013;MAUVEZIN D ARMAGNAC;40
41078;21400177800015;MAYLIS;40
41079;21400178600018;MAZEROLLES;40
41080;21400179400012;MEES;40
41083;21400180200013;MEILHAN;40
41084;21400181000016;MESSANGES;40
41086;21400182800018;MEZOS;40
41088;21400183600011;MIMBASTE;40
41089;21400184400015;MIMIZAN;40
41094;21400185100010;MIRAMONT SENSACQ;40
41096;21400186900012;MISSON;40
41098;21400187700015;MOLIETS ET MAA;40
41104;21400188500018;MOMUY;40
41106;21400189300012;MONGET;40
41107;21400190100013;MONSEGUR;40
41110;21400191900015;MONTAUT;40
41113;21400192700018;MONT DE MARSAN;40
41122;21400193500011;MONTEGUT;40
41123;21400194300015;MONTFORT EN CHALOSSE;40
41124;21400195000010;MONTGAILLARD;40
41126;21400196800012;MONTSOUE;40
41129;21400198400019;MORGANX;40
41130;21400199200012;MOUSCARDES;40
41131;21400200800016;MOUSTEY;40
41132;21400201600019;MUGRON;40
41135;21400202400013;NARROSSE;40
41138;21400203200016;NASSIET;40
41139;21400204000019;NERBIS;40
41140;21400205700013;NOUSSE;40
41141;21400206500016;OEYREGAVE;40
41142;21400207300010;OEYRELUY;40
41143;21400208100013;ONARD;40
41144;21400209900015;ONDRES;40
41145;21400210700016;ONESSE LAHARIE;40
41149;21400211500019;ORIST;40
41151;21400212300013;ORTHEVIELLE;40
41154;21400213100081;ORX;40
41157;21400214900018;OSSAGES;40
41159;21400215600013;OUSSE SUZAN;40
41160;21400216400017;OZOURT;40
41161;21400217200010;PARENTIS EN BORN;40
41166;21400218000013;PARLEBOSCQ;40
41168;21400219800015;PAYROS CAZAUTETS;40
41169;21400220600016;PECORADE;40
41170;21400221400010;PERQUIE;40
41171;21400222200013;PEY;40
41173;21400223000016;PEYRE;40
41174;21400224800018;PEYREHORADE;40
41177;21400225500013;PHILONDENX;40
41179;21400226300017;PIMBO;40
41181;21400227100010;PISSOS;40
41183;21400228900012;POMAREZ;40
41188;21400229700015;PONTENX LES FORGES;40
41189;21400230500016;PONTONX SUR L ADOUR;40
41190;21400231300010;PORT DE LANNE;40
41191;21400232100013;POUDENX;40
41193;21400233900015;POUILLON;40
41198;21400234700018;POUYDESSEAUX;40
41200;21400235400014;POYANNE;40
41201;21400236200017;POYARTIN;40
41203;21400237000010;PRECHACQ LES BAINS;40
41204;21400238800012;PUJO LE PLAN;40
41205;21400239600015;PUYOL CAZALET;40
41207;21400240400017;RENUNG;40
41209;21400242000013;RIMBEZ ET BAUDIETS;40
41212;21400244600018;RIVIERE SAAS ET GOURBY;40
41213;21400245300014;ROQUEFORT;40
41214;21400246100017;SABRES;40
41216;21400247900019;ST AGNET;40
41217;21400248700012;ST ANDRE DE SEIGNANX;40
41219;21400249500015;ST AUBIN;40
41220;21400250300016;ST AVIT;40
41223;21400251100019;ST BARTHELEMY;40
41224;21400252900011;STE COLOMBE;40
41226;21400253700014;ST CRICQ CHALOSSE;40
41227;21400254500017;ST CRICQ DU GAVE;40
41228;21400255200013;ST CRICQ VILLENEUVE;40
41229;21400256000016;ST ETIENNE D ORTHE;40
41230;21400257800018;STE EULALIE EN BORN;40
41233;21400258600011;STE FOY;40
41234;21400259400015;ST GEIN;40
41235;21400260200016;ST GEOURS D AURIBAT;40
41236;21400261000019;ST GEOURS DE MAREMNE;40
41241;21400262800011;ST GOR;40
41242;21400263600014;ST JEAN DE LIER;40
41243;21400264400018;ST JEAN DE MARSACQ;40
41248;21400265100013;ST JULIEN D ARMAGNAC;40
41249;21400266900015;ST JULIEN EN BORN;40
41252;21400267700018;ST JUSTIN;40
41256;21400268500011;ST LAURENT DE GOSSE;40
41258;21400269300015;ST LON LES MINES;40
41259;21400270100016;ST LOUBOUER;40
41261;21400271900018;STE MARIE DE GOSSE;40
41263;21400272700078;ST MARTIN DE HINX;40
41264;21400273500014;ST MARTIN DE SEIGNANX;40
41267;21400274300018;ST MARTIN D ONEY;40
41271;21400275000013;ST MAURICE SUR ADOUR;40
41273;21400276800015;ST MICHEL ESCALUS;40
41275;21400277600018;ST PANDELON;40
41277;21400278400012;ST PAUL EN BORN;40
41278;21400279200015;ST PAUL LES DAX;40
41279;21400280000016;ST PERDON;40
41281;21400281800166;ST PIERRE DU MONT;40
41282;21400282600011;ST SEVER;40
41290;21400283400015;ST VINCENT DE PAUL;40
41294;21400284200018;ST VINCENT DE TYROSSE;40
41296;21400285900012;ST YAGUEN;40
41298;21400286700015;SAMADET;40
41300;21400287500018;SANGUINET;40
41306;21400288300012;SARBAZAN;40
41308;21400289100015;SARRAZIET;40
41311;21400290900015;SARRON;40
41312;21400291700018;SAUBION;40
41316;21400292500011;SAUBRIGUES;40
41318;21400293300080;SAUBUSSE;40
41319;21400294100018;SAUGNAC ET CAMBRAN;40
41320;21400295800012;SAUGNAC ET MURET;40
41322;21400296600015;SEIGNOSSE;40
41325;21400297400019;LE SEN;40
41328;21400298200012;SERRES GASTON;40
41330;21400299000015;SERRESLOUS ET ARRIBANS;40
41332;21400300600019;SEYRESSE;40
41333;21400301400013;SIEST;40
41334;21400303000019;SOLFERINO;40
41335;21400304800011;SOORTS HOSSEGOR;40
41341;21400305500016;SORBETS;40
41343;21400306300010;SORDE L ABBAYE;40
41344;21400307100013;SORE;40
41352;21400308900015;SORT EN CHALOSSE;40
41353;21400309700018;SOUPROSSE;40
41357;21400310500019;SOUSTONS;40
41362;21400311300013;TALLER;40
41365;21400312100016;TARNOS;40
41367;21400313900018;TARTAS;40
41369;21400314700060;TERCIS LES BAINS;40
41370;21400315400017;TETHIEU;40
41374;21400316200010;TILH;40
41375;21400317000013;TOSSE;40
41381;21400318800015;TOULOUZETTE;40
41382;21400319600018;TRENSACQ;40
41383;21400320400010;UCHACQ ET PARENTIS;40
41385;21400321200013;URGONS;40
41388;21400322000016;UZA;40
41389;21400323800018;VERT;40
41391;21400324600011;VICQ D AURIBAT;40
41392;21400325300017;VIELLE TURSAN;40
41394;21400326100143;VIELLE ST GIRONS;40
41396;21400327900012;VIELLE SOUBIRAN;40
41397;21400328700015;VIEUX BOUCAU LES BAINS;40
41404;21400329500018;LE VIGNAU;40
41405;21400330300010;VILLENAVE;40
41406;21400331100013;VILLENEUVE DE MARSAN;40
41407;21400332900015;YCHOUX;40
41410;21400333700018;YGOS ST SATURNIN;40
41414;21400334500011;YZOSSE;40
41415;21410001800016;AMBLOY;41
41416;21410002600019;ANGE;41
41419;21410003400013;AREINES;41
41420;21410004200016;ARTINS;41
41422;21410006700013;AUTAINVILLE;41
41424;21410007500016;AUTHON;41
41425;21410008300010;AVARAY;41
41426;21410009100013;AVERDON;41
41427;21410010900013;AZE;41
41428;21410012500019;BAILLOU;41
41432;21410013300013;BAUZY;41
41434;21410014100016;BEAUCHENE;41
41436;21410016600013;BILLY;41
41439;21410017400017;BINAS;41
41440;21410018200010;BLOIS;41
41449;21410019000013;BOISSEAU;41
41450;21410020800013;BONNEVEAU;41
41452;21410022400010;BOUFFRY;41
41453;21410024000016;BOURSAY;41
41456;21410025700010;BRACIEUX;41
41457;21410026500013;BREVAINVILLE;41
41459;21410027300017;BRIOU;41
41460;21410028100010;BUSLOUP;41
41463;21410029900012;CANDE SUR BEUVRON;41
41466;21410030700013;CELLE;41
41467;21410031500016;CELLETTES;41
41469;21410032300010;CHAILLES;41
41472;21410034900015;CHAMBORD;41
41473;21410035600010;CHAMPIGNY EN BEAUCE;41
41474;21410036400014;CHAON;41
41476;21410037200017;LA CHAPELLE ENCHERIE;41
41478;21410038000010;CHAPELLE-MONTMARTIN (LA );41
41480;21410039800012;LA CHAPELLE ST MARTIN EN PLAINE;41
41482;21410040600013;LA CHAPELLE VENDOMOISE;41
41484;21410041400017;LA CHAPELLE VICOMTESSE;41
41487;21410042200010;CHATEAUVIEUX;41
41489;21410043000013;CHATILLON SUR CHER;41
41494;21410044800015;CHATRES-SUR-CHER;41
41496;21410045500010;CHAUMONT SUR LOIRE;41
41498;21410046300014;CHAUMONT SUR THARONNE;41
41502;21410047100017;LA CHAUSSEE ST VICTOR;41
41504;21410048900019;CHAUVIGNY DU PERCHE;41
41506;21410049700012;CHEMERY;41
41512;21410050500012;CHEVERNY;41
41514;21410051300016;CHISSAY EN TOURAINE;41
41515;21410052100019;CHITENAY;41
41516;21410053900011;CHOUE;41
41519;21410054700014;CHOUSSY;41
41521;21410057000016;CONAN;41
41522;21410058800018;CONCRIERS;41
41523;21410060400013;CORMENON;41
41525;21410061200016;CORMERAY;41
41526;21410062000019;COUDDES;41
41528;21410063800011;COUFFY;41
41530;21410065300010;COULOMMIERS LA TOUR;41
41531;21410066100013;COURBOUZON;41
41532;21410067900023;COUR CHEVERNY;41
41534;21410068700018;COURMEMIN;41
41542;21410069500011;COUR SUR LOIRE;41
41543;21410071100016;CROUY SUR COSSON;41
41544;21410072900018;CRUCHERAY;41
41545;21410073700011;DANZE;41
41548;21410074500014;DHUIZON;41
41551;21410075200010;DROUE;41
41554;21410077800015;EPIAIS;41
41555;21410078600018;EPUISAY;41
41558;21410079400012;LES ESSARTS;41
41559;21410080200013;FAVEROLLES SUR CHER;41
41561;21410081000016;FAYE;41
41562;21410083600011;LA FERTE BEAUHARNAIS;41
41567;21410084400015;FERTE-IMBAULT (LA );41
41569;21410085100010;LA FERTE ST CYR;41
41570;21410086900012;FONTAINES EN SOLOGNE;41
41571;21410087700015;FONTAINE LES COTEAUX;41
41572;21410088500018;FONTAINE RAOUL;41
41574;21410089300012;LA FONTENELLE;41
41576;21410090100013;FORTAN;41
41577;21410091900015;FOSSE;41
41580;21410093500011;FRANCAY;41
41581;21410094300015;FRESNES;41
41584;21410095000010;FRETEVAL;41
41586;21410096800012;LE GAULT DU PERCHE;41
41588;21410097600015;GIEVRES;41
41594;21410098400019;GOMBERGEAN;41
41595;21410099200012;GY EN SOLOGNE;41
41598;21410100800016;LES HAYES;41
41599;21410101600019;HERBAULT;41
41603;21410102400013;HOUSSAY;41
41604;21410103200016;HUISSEAU-EN-BEAUCE;41
41605;21410104000019;HUISSEAU SUR COSSON;41
41607;21410105700013;JOSNES;41
41610;21410106500016;LAMOTTE BEUVRON;41
41616;21410107300010;LANCE;41
41617;21410108100013;LANCOME;41
41618;21410109900015;LANDES LE GAULOIS;41
41620;21410110700016;LANGON SUR CHER;41
41622;21410112300013;LASSAY SUR CROISNE;41
41626;21410113100016;LAVARDIN;41
41627;21410114900018;LESTIOU;41
41628;21410115600013;LIGNIERES;41
41629;21410116400017;LISLE;41
41631;21410118000013;LOREUX;41
41633;21410119800015;LORGES;41
41634;21410120600016;LUNAY;41
41635;21410121400010;LA MADELEINE VILLEFROUIN;41
41636;21410122200013;MARAY;41
41637;21410123000016;MARCHENOIR;41
41640;21410124800018;MARCILLY-EN-BEAUCE;41
41641;21410125500013;MARCILLY-EN-GAULT;41
41643;21410126300017;MAREUIL SUR CHER;41
41645;21410127100010;MAROLLES;41
41649;21410128900012;MAROLLES;41
41650;21410129700015;MASLIVES;41
41652;21410130500016;MAVES;41
41653;21410131300010;MAZANGE;41
41654;21410132100013;MEHERS;41
41657;21410134700018;MENARS;41
41658;21410135400014;MENNETOU SUR CHER;41
41660;21410136200017;MER;41
41662;21410137000010;MESLAND;41
41663;21410138800012;MESLAY;41
41664;21410139600015;MEUSNES;41
41670;21410140400017;MILLANCAY;41
41673;21410141200010;MOISY;41
41675;21410143800015;MONDOUBLEAU;41
41677;21410144600018;MONTEAUX;41
41679;21410145300030;MONTHOU SUR BIEVRE;41
41681;21410146100017;MONTHOU SUR CHER;41
41682;21410147900019;LES MONTILS;41
41684;21410148700012;MONTLIVAULT;41
41685;21410149500015;MONTOIRE SUR LE LOIR;41
41690;21410150300016;MONT PRES CHAMBORD;41
41692;21410152900011;MONTRIEUX EN SOLOGNE;41
41697;21410153700014;MONTROUVEAU;41
41698;21410154500017;MOREE;41
41700;21410155200013;MUIDES SUR LOIRE;41
41703;21410156000016;MULSANS;41
41705;21410157800018;MUR-DE-SOLOGNE;41
